"listing_id";"listing_name";"brand";"listing_description";"condition";"size";"listing_url";"colour";"favorite";"views";"location";"price";"price_tax";"total_price";"payment_option";"upload_time";"processed_at";"username";"rating";"reviewsCount";"followers";"following";"lastSeen";"wardrobeQuantity";"category_id"
"6113505165";"Gant gilet";"";"Amper gedragen.";"Good";"M / 38 / 10";"https://www.vinted.nl/items/6113505165-gant-gilet";"Grey";"0";"8";"Utrecht, Nederland";"3.99";"0";"";"";"2 hours ago";"2025-04-08T21:00:08.513Z";"iriscoraly";"4.5";"23";"6";"5";"";"11";"1874"
"6053303830";"T shirt van Urbndist";"";"Rood achtig t shirt niet zo fel als op de foto kleine wit halsje met knoopjes";"Good";"XXL";"https://www.vinted.nl/items/6053303830-t-shirt-van-urbndist";"Red";"0";"2";"Enkhuizen, Nederland";"2.5";"0.83";"3.33";"";"a week ago";"2025-04-10T19:28:27.764Z";"annetenfred";"4.9";"369";"7";"0";"";"538";"1806"
"5984263535";"Masai. Ribcord broek maat 38";"";"Leuke rib broek van Masai 
Mooie blauwe kleur";"Very good";"M / 38 / 10";"https://www.vinted.nl/items/5984263535-masai-ribcord-broek-maat-38";"Light blue, Grey";"0";"5";"Assendelft, Nederland";"5";"0.95";"5.95";"";"3 weeks ago";"2025-04-10T22:00:08.335Z";"claudiakooij";"4.6";"920";"151";"4";"";"317";"185"
"5961739346";"Leren Celinda sandalen 41";"";"Kleur bruin";"Good";"41";"https://www.vinted.nl/items/5961739346-leren-celinda-sandalen-41";"Brown";"1";"18";"Nederland";"5";"0.95";"5.95";"";"4 weeks ago";"2025-04-11T09:09:20.206Z";"che3101";"4.9";"352";"19";"1";"";"556";"2949"
"6033729757";"Zwarte pantalon van WE";"";"Zwarte pantalon van WE.
Maat 46.

Ik verkoop nog meer broeken en overige kleding. Neem gerust een kijkje in mijn kastje en maak bijvoorbeeld een bundel!... more";"Very good";"M";"https://www.vinted.nl/items/6033729757-zwarte-pantalon-van-we";"Black";"0";"10";"Gouda, Nederland";"3";"0.85";"3.85";"";"2 weeks ago";"2025-04-10T23:18:16.429Z";"nicoliensammy";"5";"33";"3";"3";"";"169";"263"
"5370044557";"Wikkel jurkje";"";"Nieuw wikkel jurkje";"New with tags";"XL / 42 / 14";"https://www.vinted.nl/items/5370044557-wikkel-jurkje";"Beige, Green";"1";"44";"Enkhuizen, Nederland";"7.5";"1.08";"8.58";"";"4 months ago";"2025-04-10T19:11:13.846Z";"annetenfred";"4.9";"369";"7";"0";"";"538";"1059"
"4826136691";"";"";"";"";"";"https://www.vinted.nl/items/4826136691-prachtige-top-met-studs";"";"0";"0";"Ter Aar, Nederland";"0";"0.9";"4.9";"";"";"2025-04-11T08:50:42.004Z";"dianavilla75";"4.6";"206";"6";"5";"";"96";"14"
"6059037368";"Grijze spijkerbroek";"";"Vaak gedragen, goede staat, skinny jeans";"Good";"14 years / 164 cm";"https://www.vinted.nl/items/6059037368-grijze-spijkerbroek";"Grey";"0";"0";"Tubbergen, Nederland";"2.5";"0.83";"3.33";"";"a week ago";"2025-04-10T18:46:11.881Z";"anne_pasveer";"4";"1";"0";"0";"";"15";"1696"
"4444601500";"Leuke overslag rok leger stijl";"";"Veel zakken 
Maat 30
Lengte: 51 cm";"Very good";"XXXS / 30 / 2";"https://www.vinted.nl/items/4444601500-leuke-overslag-rok-leger-stijl";"Khaki";"0";"7";"Moordrecht, Nederland";"5";"0.95";"5.95";"";"11 months ago";"2025-04-11T08:02:54.486Z";"mirellalemmens";"4.8";"298";"28";"1";"";"411";"575"
"4557939999";"T shirt";"";"Mt 134/140";"Satisfactory";"9 years / 134 cm";"https://www.vinted.nl/items/4557939999-t-shirt";"Black";"0";"6";"Utrecht, Nederland";"1";"0.75";"1.75";"";"10 months ago";"2025-04-11T07:45:48.914Z";"angelique3555";"4.8";"30";"1";"0";"";"48";"1662"
"3775510176";"";"";"";"";"";"https://www.vinted.nl/items/3775510176-mooie-trui";"";"0";"0";"Rotterdam, Nederland";"0";"1.95";"26.95";"";"";"2025-04-11T07:55:49.581Z";"madrettor80";"4.9";"519";"28";"19";"";"179";"1813"
"5760394136";"Slabbetje";"";"Slabbetje";"Good";"";"https://www.vinted.nl/items/5760394136-slabbetje";"";"0";"0";"Coevorden, Nederland";"1";"0.75";"1.75";"";"2 months ago";"2025-04-10T19:53:07.940Z";"joellebosgraaf";"4.9";"7";"0";"0";"";"153";"3434"
"3225423172";"Boxpakje Beebielove, roze, tijger, mt 56";"";"Hele netjes!";"Very good";"1-3 months / 56 cm";"https://www.vinted.nl/items/3225423172-boxpakje-beebielove-roze-tijger-mt-56";"Pink";"0";"21";"Hillegom, Nederland";"5";"0.95";"5.95";"";"a year ago";"2025-04-10T21:03:26.703Z";"leoniexie";"4.9";"489";"20";"2";"";"146";"1514"
"5908491704";"";"";"";"";"";"https://www.vinted.nl/items/5908491704-mooie-hoge-hakken-met-veters";"";"0";"0";"Voorburg, Nederland";"0";"0.95";"5.95";"";"";"2025-04-11T08:26:23.620Z";"robin11021234";"4.9";"151";"58";"2";"";"55";"2618"
"6069918613";"";"";"";"";"";"https://www.vinted.nl/items/6069918613-8-paar-slips-maat-s-m";"";"0";"0";"Boskoop, Nederland";"0";"0.9";"4.9";"";"";"2025-04-10T21:09:53.026Z";"margotgb1982";"5";"500";"26";"2";"";"169";"120"
"4956737550";"";"";"";"";"";"https://www.vinted.nl/items/4956737550-summier-rokje-van-only";"";"0";"0";"Nederland";"0";"1.05";"8.04";"";"";"2025-04-11T08:31:45.828Z";"leo-nie2812";"4.8";"344";"27";"13";"";"165";"11"
"6112477829";"";"";"";"";"";"https://www.vinted.nl/items/6112477829-mooie-grote-sjaal";"";"0";"0";"Ter Aar, Nederland";"0";"1.1";"9.1";"";"";"2025-04-11T08:50:35.231Z";"dianavilla75";"4.6";"206";"6";"5";"";"96";"1440"
"6118846841";"";"";"";"";"";"https://www.vinted.nl/items/6118846841-chanel-collectors-item-boekje-met-mascara";"";"0";"0";"Nederland";"0";"1.08";"8.58";"";"";"2025-04-11T08:26:58.641Z";"av.clothes";"3.8";"341";"48";"1";"";"79";"964"
"6113661830";"Mooi jurk";"";"Jurkje valt ruim over de knie met kwart mouwtje. Staat xl in maar valt als l.
Het is een beetje satijn achtig stofje";"Very good";"L / 40 / 12";"https://www.vinted.nl/items/6113661830-mooi-jurk";"Blue, White";"0";"7";"Almkerk, Nederland";"7";"1.05";"8.05";"";"2 days ago";"2025-04-10T21:24:25.580Z";"juliaboeve";"4.8";"40";"1";"0";"";"26";"1056"
"4641355505";"Super leuk paars kant jurkje";"";"Amper gedragen";"New without tags";"S / 36 / 8";"https://www.vinted.nl/items/4641355505-super-leuk-paars-kant-jurkje";"Purple";"0";"5";"Elsendorp, Nederland";"2";"0.8";"2.8";"";"9 months ago";"2025-04-10T19:50:24.379Z";"marly_jacobs";"4.9";"58";"2";"2";"";"59";"1065"
"6125600422";"Mooie zomer rok";"";"Leuke rok";"Very good";"XS / 34 / 6";"https://www.vinted.nl/items/6125600422-mooie-zomer-rok";"Coral";"0";"7";"Nederland";"5.5";"0.98";"6.48";"";"11 hours ago";"2025-04-11T08:28:41.581Z";"leo-nie2812";"4.8";"344";"27";"13";"";"165";"198"
"4453587394";"Chique jurk";"";"Chique jurk, glimmende stof, met een kort rokje eronder. Nooit aangehad. Voor vragen dm gerust!";"Very good";"S / 36 / 8";"https://www.vinted.nl/items/4453587394-chique-jurk";"Khaki";"0";"5";"Doornspijk, Nederland";"5";"0.95";"5.95";"";"11 months ago";"2025-04-11T08:45:45.852Z";"noa20524";"4.6";"33";"1";"0";"";"42";"1775"
"5977732308";"T-shirt Only&Sons";"";"T-shirt van Only&Sons.
Valt naar maat.
Amper gedragen.";"Very good";"L";"https://www.vinted.nl/items/5977732308-t-shirt-onlysons";"White, Blue";"0";"0";"Katwijk, Nederland";"4";"0.9";"4.9";"";"3 weeks ago";"2025-04-10T18:51:52.128Z";"caroline.schoneveld";"4.9";"62";"3";"1";"";"53";"1808"
"6005386989";"Hemdje";"";"Nieuw hemd nooit gedragen helaas al te klein. Geen beschadigingen.";"New without tags";"24-36 months / 92 cm";"https://www.vinted.nl/items/6005386989-hemdje";"Beige, Green";"0";"3";"Maastricht, Nederland";"2";"0.8";"2.8";"";"2 weeks ago";"2025-04-10T20:12:22.982Z";"dominiquedw90";"5";"2";"0";"0";"";"59";"1664"
"6114166571";"Lange jurk";"";"Gedragen";"Very good";"S / 36 / 8";"https://www.vinted.nl/items/6114166571-lange-jurk";"Beige";"0";"0";"Bergen op Zoom, Nederland";"1.5";"0";"";"";"an hour ago";"2025-04-08T20:55:27.541Z";"s.omgc";"5";"2";"1";"0";"";"42";"1055"
"5754012551";"";"";"";"";"";"https://www.vinted.nl/items/5754012551-zara-zwart-leer-rokje";"";"0";"0";"Rotterdam, Nederland";"0";"1.2";"11.2";"";"";"2025-04-11T08:26:54.943Z";"bloempjebianca";"4.8";"137";"39";"10";"";"113";"198"
"5520147708";"";"";"";"";"";"https://www.vinted.nl/items/5520147708-porseleinen-oorbellen";"";"0";"0";"Moordrecht, Nederland";"0";"0.75";"1.75";"";"";"2025-04-11T07:56:48.577Z";"mirellalemmens";"4.8";"298";"28";"1";"";"411";"163"
"6004729810";"Nyx oogschaduw";"";"Niet gebruikt.";"New with tags";"";"https://www.vinted.nl/items/6004729810-nyx-oogschaduw";"";"1";"0";"Helmond, Nederland";"5";"0.95";"5.95";"";"2 weeks ago";"2025-04-10T18:57:07.384Z";"su_ce";"4.8";"44";"5";"4";"";"135";"964"
"5290650430";"Vestje 1+ in the family";"";"Vestje van 1+ in the family 
Nooit gedragen 
Lekker warm";"New without tags";"24-36 months / 92 cm";"https://www.vinted.nl/items/5290650430-vestje-1-in-the-family";"Beige, Navy";"1";"55";"Waalwijk, Nederland";"17.5";"1.58";"19.08";"";"5 months ago";"2025-04-10T17:42:09.139Z";"annelijnn93";"4.5";"118";"10";"1";"";"84";"1887"
"4492906046";"";"";"";"";"";"https://www.vinted.nl/items/4492906046-primark-body-zwart";"";"0";"0";"Rotterdam, Nederland";"0";"0.95";"5.95";"";"";"2025-04-11T08:27:01.760Z";"bloempjebianca";"4.8";"137";"39";"10";"";"113";"1835"
"4616723451";"Nieuwe jurk van GMaxx maat M. Met kaartje";"";"Mooie jurk van Gmaxx nieuw met kaartje";"New with tags";"M / 38 / 10";"https://www.vinted.nl/items/4616723451-nieuwe-jurk-van-gmaxx-maat-m-met-kaartje";"Black, Grey";"0";"36";"Assendelft, Nederland";"25";"1.95";"26.95";"";"10 months ago";"2025-04-10T21:37:26.912Z";"claudiakooij";"4.6";"920";"151";"4";"";"317";"1056"
"6075191638";"8 ball shirt 🎱";"";"8 ball crop top 🎱

✅ Details:
- Brand: Unknown
- Size: S
- Color: White & Black
- Fit: Regular
- Condition: New

📦 Shipping 
🚀 Fast shipping available (within two days)

DM me if you have any questions!

#streetwear #8ball #y2k #y2kstyle #skatewear #skaterstyle #croptop #8ballshirt... more";"New without tags";"S / 36 / 8";"https://www.vinted.nl/items/6075191638-8-ball-shirt";"Black, White";"1";"9";"Nederland";"5";"0.95";"5.95";"";"a week ago";"2025-04-10T17:48:39.395Z";"xyentldirksen";"4";"29";"12";"7";"";"17";"221"
